manudur,rikisfang,atvinnugrein,fjoldi
2009-02,Allir,Annað,1226
2009-03,Allir,Annað,1310
2009-04,Allir,Annað,1335
2009-05,Allir,Annað,1315
2009-06,Allir,Annað,1293
2009-07,Allir,Annað,1267
2009-08,Allir,Annað,1264
2009-09,Allir,Annað,1189
2009-10,Allir,Annað,1216
2009-11,Allir,Annað,1284
2009-12,Allir,Annað,1286
2010-01,Allir,Annað,1410
2010-02,Allir,Annað,1420
2010-03,Allir,Annað,1441
2010-04,Allir,Annað,1397
2010-05,Allir,Annað,1311
2010-06,Allir,Annað,1244
2010-07,Allir,Annað,1231
2010-08,Allir,Annað,1191
2010-09,Allir,Annað,1110
2010-10,Allir,Annað,1149
2010-11,Allir,Annað,1178
2010-12,Allir,Annað,1196
2011-01,Allir,Annað,1268
2011-02,Allir,Annað,1283
2011-03,Allir,Annað,1280
2011-04,Allir,Annað,1215
2011-05,Allir,Annað,1161
2011-06,Allir,Annað,1118
2011-07,Allir,Annað,1113
2011-08,Allir,Annað,1096
2011-09,Allir,Annað,1075
2011-10,Allir,Annað,1073
2011-11,Allir,Annað,1112
2011-12,Allir,Annað,1093
2012-01,Allir,Annað,1059
2012-02,Allir,Annað,1096
2012-03,Allir,Annað,1065
2012-04,Allir,Annað,1004
2012-05,Allir,Annað,929
2012-06,Allir,Annað,853
2012-07,Allir,Annað,864
2012-08,Allir,Annað,804
2012-09,Allir,Annað,743
2012-10,Allir,Annað,812
2012-11,Allir,Annað,825
2012-12,Allir,Annað,841
2013-01,Allir,Annað,872
2013-02,Allir,Annað,875
2013-03,Allir,Annað,869
2013-04,Allir,Annað,789
2013-05,Allir,Annað,778
2013-06,Allir,Annað,766
2013-07,Allir,Annað,755
2013-08,Allir,Annað,702
2013-09,Allir,Annað,651
2013-10,Allir,Annað,662
2013-11,Allir,Annað,668
2013-12,Allir,Annað,711
2014-01,Allir,Annað,800
2014-02,Allir,Annað,749
2014-03,Allir,Annað,708
2014-04,Allir,Annað,639
2014-05,Allir,Annað,567
2014-06,Allir,Annað,576
2014-07,Allir,Annað,561
2014-08,Allir,Annað,509
2014-09,Allir,Annað,486
2014-10,Allir,Annað,515
2014-11,Allir,Annað,523
2014-12,Allir,Annað,521
2015-01,Allir,Annað,604
2015-02,Allir,Annað,581
2015-03,Allir,Annað,593
2015-04,Allir,Annað,563
2015-05,Allir,Annað,530
2015-06,Allir,Annað,464
2015-07,Allir,Annað,449
2015-08,Allir,Annað,430
2015-09,Allir,Annað,404
2015-10,Allir,Annað,414
2015-11,Allir,Annað,467
2015-12,Allir,Annað,442
2016-01,Allir,Annað,504
2016-02,Allir,Annað,481
2016-03,Allir,Annað,454
2016-04,Allir,Annað,148
2016-05,Allir,Annað,154
2016-06,Allir,Annað,163
2016-07,Allir,Annað,138
2016-08,Allir,Annað,146
2016-09,Allir,Annað,138
2016-10,Allir,Annað,135
2016-11,Allir,Annað,155
2016-12,Allir,Annað,201
2017-01,Allir,Annað,290
2017-02,Allir,Annað,182
2017-03,Allir,Annað,123
2017-04,Allir,Annað,92
2017-05,Allir,Annað,63
2017-06,Allir,Annað,54
2017-07,Allir,Annað,40
2017-08,Allir,Annað,49
2017-09,Allir,Annað,47
2017-10,Allir,Annað,53
2017-11,Allir,Annað,59
2017-12,Allir,Annað,41
2018-01,Allir,Annað,104
2018-02,Allir,Annað,72
2018-03,Allir,Annað,51
2018-04,Allir,Annað,62
2018-05,Allir,Annað,79
2018-06,Allir,Annað,93
2018-07,Allir,Annað,65
2018-08,Allir,Annað,85
2018-09,Allir,Annað,82
2018-10,Allir,Annað,104
2018-11,Allir,Annað,115
2018-12,Allir,Annað,130
2019-01,Allir,Annað,197
2019-02,Allir,Annað,163
2019-03,Allir,Annað,411
2019-04,Allir,Annað,166
2019-05,Allir,Annað,147
2019-06,Allir,Annað,184
2019-07,Allir,Annað,189
2019-08,Allir,Annað,176
2019-09,Allir,Annað,173
2019-10,Allir,Annað,232
2019-11,Allir,Annað,232
2019-12,Allir,Annað,219
2020-01,Allir,Annað,298
2020-02,Allir,Annað,241
2020-03,Allir,Annað,1806
2020-04,Allir,Annað,2123
2020-05,Allir,Annað,1681
2020-06,Allir,Annað,1090
2020-07,Allir,Annað,712
2020-08,Allir,Annað,735
2020-09,Allir,Annað,540
2020-10,Allir,Annað,686
2020-11,Allir,Annað,880
2020-12,Allir,Annað,891
2021-01,Allir,Annað,938
2021-02,Allir,Annað,721
2021-03,Allir,Annað,752
2021-04,Allir,Annað,635
2021-05,Allir,Annað,500
2021-06,Allir,Annað,368
2021-07,Allir,Annað,355
2021-08,Allir,Annað,338
2021-09,Allir,Annað,291
2021-10,Allir,Annað,273
2021-11,Allir,Annað,328
2021-12,Allir,Annað,375
2022-01,Allir,Annað,486
2022-02,Allir,Annað,377
2022-03,Allir,Annað,344
2022-04,Allir,Annað,336
2022-05,Allir,Annað,727
2022-06,Allir,Annað,171
2022-07,Allir,Annað,164
2022-08,Allir,Annað,146
2022-09,Allir,Annað,133
2022-10,Allir,Annað,175
2022-11,Allir,Annað,299
2022-12,Allir,Annað,549
2023-01,Allir,Annað,183
2023-02,Allir,Annað,342
2023-03,Allir,Annað,155
2023-04,Allir,Annað,159
2023-05,Allir,Annað,157
2023-06,Allir,Annað,147
2023-07,Allir,Annað,161
2023-08,Allir,Annað,122
2023-09,Allir,Annað,110
2023-10,Allir,Annað,149
2023-11,Allir,Annað,162
2023-12,Allir,Annað,180
2024-01,Allir,Annað,173
2024-02,Allir,Annað,206
2024-03,Allir,Annað,186
2024-04,Allir,Annað,162
2024-05,Allir,Annað,146
2024-06,Allir,Annað,127
2024-07,Allir,Annað,166
2024-08,Allir,Annað,147
2024-09,Allir,Annað,164
2024-10,Allir,Annað,145
2024-11,Allir,Annað,273
2024-12,Allir,Annað,238
2025-01,Allir,Annað,338
2025-02,Allir,Annað,322
2025-03,Allir,Annað,356
2025-04,Allir,Annað,392
2025-05,Allir,Annað,328
2025-06,Allir,Annað,410
2025-07,Allir,Annað,440
2025-08,Allir,Annað,381
2025-09,Allir,Annað,459
2025-10,Allir,Annað,540
2025-11,Allir,Annað,186
2025-12,Allir,Annað,220
2026-01,Allir,Annað,203
2026-02,Allir,Annað,171
2026-03,Allir,Annað,181
2000-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,50
2000-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,41
2000-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,36
2000-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,30
2000-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,19
2000-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2000-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,21
2000-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,15
2000-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,16
2000-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,32
2000-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,39
2001-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2001-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,31
2001-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,28
2001-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2001-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,27
2001-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,12
2001-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,14
2001-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,14
2001-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,17
2001-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2001-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,32
2001-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,49
2002-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,58
2002-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,58
2002-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,54
2002-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,42
2002-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,49
2002-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,31
2002-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2002-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2002-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,22
2002-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2002-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,32
2002-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,47
2003-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,54
2003-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,60
2003-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,57
2003-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,56
2003-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,51
2003-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,40
2003-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,33
2003-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2003-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,28
2003-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,31
2003-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,42
2003-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,48
2004-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,48
2004-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,43
2004-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,37
2004-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,33
2004-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,42
2004-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,34
2004-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2004-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,27
2004-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2004-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,27
2004-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2004-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,33
2005-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,39
2005-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,31
2005-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2005-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,27
2005-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,19
2005-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2005-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,24
2005-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2005-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,15
2005-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,21
2005-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,24
2005-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2006-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,24
2006-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,21
2006-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2006-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,21
2006-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2006-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2006-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2006-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,16
2006-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,13
2006-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,13
2006-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,19
2006-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,22
2007-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2007-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,26
2007-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,22
2007-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,19
2007-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,19
2007-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,15
2007-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,14
2007-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,10
2007-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,9
2007-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,10
2007-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,10
2007-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,12
2008-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,14
2008-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,15
2008-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,14
2008-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2008-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,14
2008-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,13
2008-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,17
2008-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,13
2008-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,17
2008-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2008-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,52
2008-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,71
2009-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,96
2009-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,124
2009-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,127
2009-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,121
2009-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,114
2009-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,101
2009-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,99
2009-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,92
2009-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,90
2009-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,104
2009-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,128
2009-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,122
2010-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,139
2010-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,130
2010-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,126
2010-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,127
2010-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,108
2010-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,100
2010-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,99
2010-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,106
2010-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,100
2010-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,100
2010-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,104
2010-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,112
2011-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,119
2011-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,115
2011-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,123
2011-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,111
2011-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,98
2011-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,93
2011-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,92
2011-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,93
2011-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,87
2011-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,92
2011-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,89
2011-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,98
2012-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,102
2012-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,108
2012-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,102
2012-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,98
2012-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,82
2012-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,69
2012-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,65
2012-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,66
2012-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,62
2012-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,61
2012-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,70
2012-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,78
2013-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,83
2013-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,88
2013-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,76
2013-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,64
2013-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,60
2013-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,50
2013-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,45
2013-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,46
2013-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,50
2013-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,63
2013-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,62
2013-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,63
2014-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,69
2014-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,64
2014-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,67
2014-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,67
2014-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,53
2014-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,51
2014-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,47
2014-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,44
2014-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,41
2014-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,42
2014-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,47
2014-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,51
2015-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,58
2015-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,60
2015-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,55
2015-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,58
2015-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,49
2015-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,37
2015-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,36
2015-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,35
2015-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,37
2015-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,31
2015-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,41
2015-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,40
2016-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,40
2016-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,47
2016-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,48
2016-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,42
2016-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,42
2016-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,36
2016-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,34
2016-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,33
2016-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,39
2016-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,27
2016-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,34
2016-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,37
2017-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,40
2017-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,39
2017-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,39
2017-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,35
2017-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,27
2017-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2017-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,24
2017-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,24
2017-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,27
2017-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,31
2017-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,32
2017-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,31
2018-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,38
2018-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,32
2018-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2018-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,28
2018-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,30
2018-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2018-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,28
2018-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,24
2018-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,24
2018-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2018-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,28
2018-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,30
2019-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,35
2019-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,37
2019-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,35
2019-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,39
2019-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,37
2019-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,31
2019-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,33
2019-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,32
2019-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,30
2019-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2019-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,32
2019-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2020-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,35
2020-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,44
2020-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,67
2020-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,163
2020-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,133
2020-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,99
2020-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,81
2020-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,89
2020-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,77
2020-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,96
2020-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,105
2020-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,121
2021-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,120
2021-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,114
2021-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,118
2021-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,116
2021-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,89
2021-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,54
2021-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,39
2021-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,38
2021-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,35
2021-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,40
2021-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,47
2021-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,45
2022-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,52
2022-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,48
2022-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,47
2022-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,39
2022-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,29
2022-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,27
2022-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,24
2022-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,21
2022-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,21
2022-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2022-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2022-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,20
2023-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2023-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2023-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,22
2023-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2023-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,17
2023-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,15
2023-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,12
2023-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,15
2023-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,20
2023-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2023-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,22
2023-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,24
2024-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2024-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,28
2024-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2024-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2024-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,15
2024-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,16
2024-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,17
2024-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,19
2024-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,19
2024-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,19
2024-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2024-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,22
2025-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,28
2025-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,30
2025-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,30
2025-04,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2025-05,Íslenskt ríkisfang,Landbúnaður og skógrækt,20
2025-06,Íslenskt ríkisfang,Landbúnaður og skógrækt,16
2025-07,Íslenskt ríkisfang,Landbúnaður og skógrækt,11
2025-08,Íslenskt ríkisfang,Landbúnaður og skógrækt,10
2025-09,Íslenskt ríkisfang,Landbúnaður og skógrækt,13
2025-10,Íslenskt ríkisfang,Landbúnaður og skógrækt,16
2025-11,Íslenskt ríkisfang,Landbúnaður og skógrækt,18
2025-12,Íslenskt ríkisfang,Landbúnaður og skógrækt,19
2026-01,Íslenskt ríkisfang,Landbúnaður og skógrækt,23
2026-02,Íslenskt ríkisfang,Landbúnaður og skógrækt,25
2026-03,Íslenskt ríkisfang,Landbúnaður og skógrækt,26
2000-02,Íslenskt ríkisfang,"Fiskveiðar, -eldi og -vinnsla",379
2000-03,Íslenskt ríkisfang,"Fiskveiðar, -eldi og -vinnsla",397
2000-04,Íslenskt ríkisfang,"Fiskveiðar, -eldi og -vinnsla",357
